PER;ANIO;MES;CONGLOMERADO;NOMBREDD;NOMBREPP;NOMBREDI;P617_1;P617_2;P617_3;P617_4
1;2020;1;7070;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS; ; ; ; 
1;2020;1;7070;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;3;3;3
1;2020;1;7070;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;2;2;2
1;2020;1;7070;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;2;2;2
1;2020;1;7070;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;2;3;3
1;2020;1;7070;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;3;3;3;3
1;2020;1;7070;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;3;3;3;3
1;2020;1;7070;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;4;2;2;2
1;2020;1;7070;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;2;2;2
1;2020;1;7070;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;2;2;2
1;2020;1;7070;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;3;3;2;2
1;2020;1;7070;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;3;3;2;2
1;2020;1;7070;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;3;3;3;3
1;2020;1;7070;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;3;3;3;3
1;2020;1;7071;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;3;3;3;3
1;2020;1;7071;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;3;3;2;2
1;2020;1;7071;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1;2;2;2
1;2020;1;7071;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1;1;1;1
1;2020;1;7071;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;3;3;3;3
1;2020;1;7071;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;1;2;2
1;2020;1;7071;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;3;3;3;3
1;2020;1;7071;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS; ; ; ; 
1;2020;1;7071;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;2;2;2
1;2020;1;7071;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;3;3;3;3
1;2020;1;7071;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;4;2;1;1
1;2020;1;7071;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;3;3;3;3
1;2020;1;7071;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;3;3;3;3
1;2020;1;7071;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1;1;1;1
1;2020;1;7071;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;3;3;3;3
1;2020;1;7071;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;2;2;2
1;2020;1;7071;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1;2;2;2
1;2020;1;7071;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;2;2;2
1;2020;1;7071;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;2;2;2
1;2020;1;7071;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;4;3;3;3
1;2020;1;7071;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1;2;1;1
1;2020;1;7077;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;2;2;2
1;2020;1;7077;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;1;1;1
1;2020;1;7077;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;2;2;2
1;2020;1;7077;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;3;2;5;5
1;2020;1;7077;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;3;5;5
1;2020;1;7077;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;2;1;1
1;2020;1;7077;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;1;1;1
1;2020;1;7077;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;3;2;2;2
1;2020;1;7077;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;3;3;2;2
1;2020;1;7077;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;3;3;2;2
1;2020;1;7077;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1;4;1;1
