NOMBREDD;NOMBREPP;NOMBREDI;PNP;MUNI;PJ;MPFN
TUMBES;TUMBES;TUMBES;2;2;1;0
TUMBES;TUMBES;TUMBES;0;0;0;0
TUMBES;TUMBES;TUMBES;2;2;2;2
TUMBES;TUMBES;TUMBES;2;0;1;1
TUMBES;TUMBES;TUMBES;1;1;1;1
TUMBES;TUMBES;TUMBES;0;0;0;0
TUMBES;TUMBES;TUMBES;1;1;0;0
TUMBES;TUMBES;TUMBES;2;1;1;1
TUMBES;TUMBES;TUMBES;0;1;0;0
TUMBES;TUMBES;TUMBES;3;0;0;0
TUMBES;TUMBES;TUMBES;1;0;0;0
TUMBES;TUMBES;TUMBES;1;1;1;1
TUMBES;TUMBES;TUMBES;3;3;2;2
TUMBES;TUMBES;TUMBES;1;0;1;1
TUMBES;TUMBES;TUMBES;1;1;1;1
TUMBES;TUMBES;TUMBES;1;0;1;1
TUMBES;TUMBES;TUMBES;1;1;1;1
TUMBES;TUMBES;TUMBES;1;1;1;1
TUMBES;TUMBES;TUMBES;1;0;0;0
TUMBES;TUMBES;TUMBES;2;1;2;2
TUMBES;TUMBES;TUMBES;0;0;0;0
TUMBES;TUMBES;TUMBES;0;1;0;0
TUMBES;TUMBES;TUMBES;0;0;2;2
TUMBES;TUMBES;TUMBES;3;3;3;3
TUMBES;TUMBES;TUMBES;2;2;0;0
TUMBES;TUMBES;TUMBES;0;0;0;0
TUMBES;TUMBES;TUMBES;1;0;0;0
TUMBES;TUMBES;TUMBES;2;0;0;0
TUMBES;TUMBES;TUMBES;1;0;0;0
TUMBES;TUMBES;TUMBES;0;0;0;0
TUMBES;TUMBES;TUMBES;1;0;0;0
TUMBES;TUMBES;TUMBES;1;0;1;1
TUMBES;TUMBES;TUMBES;1;0;1;0
TUMBES;TUMBES;TUMBES;3;1;1;0
TUMBES;TUMBES;TUMBES;2;0;0;0
TUMBES;TUMBES;TUMBES;3;2;2;3
TUMBES;TUMBES;TUMBES;1;1;1;1
TUMBES;TUMBES;TUMBES;1;1;2;2
TUMBES;TUMBES;TUMBES;2;2;2;2
TUMBES;TUMBES;TUMBES;3;3;3;3
TUMBES;TUMBES;TUMBES;1;0;0;0
TUMBES;TUMBES;TUMBES;1;1;1;1
TUMBES;TUMBES;TUMBES;1;1;1;1
TUMBES;TUMBES;TUMBES;0;0;0;0
TUMBES;TUMBES;TUMBES;0;0;0;0
TUMBES;TUMBES;TUMBES;2;1;0;0
TUMBES;TUMBES;TUMBES;1;1;1;1
TUMBES;TUMBES;TUMBES;1;1;1;1
TUMBES;TUMBES;TUMBES;1;1;0;0
TUMBES;TUMBES;TUMBES;1;1;1;1
TUMBES;TUMBES;TUMBES;1;1;1;1
TUMBES;TUMBES;TUMBES;1;1;1;1
TUMBES;TUMBES;TUMBES;2;0;0;0
TUMBES;TUMBES;TUMBES;0;0;0;0
TUMBES;TUMBES;TUMBES;1;1;1;1
TUMBES;TUMBES;TUMBES;1;1;1;1
TUMBES;TUMBES;TUMBES;1;1;0;0
TUMBES;TUMBES;TUMBES;0;0;0;0
TUMBES;TUMBES;TUMBES;0;0;0;0
TUMBES;TUMBES;TUMBES;0;1;1;2
TUMBES;TUMBES;TUMBES;2;0;2;0
TUMBES;TUMBES;TUMBES;1;1;1;1
TUMBES;TUMBES;TUMBES;1;0;0;0
TUMBES;TUMBES;TUMBES;1;1;1;1
TUMBES;TUMBES;TUMBES;2;0;0;0
TUMBES;TUMBES;TUMBES;0;0;0;0
TUMBES;TUMBES;TUMBES;1;1;1;1
TUMBES;TUMBES;TUMBES;0;0;0;0
TUMBES;TUMBES;TUMBES;1;1;1;1
TUMBES;TUMBES;TUMBES;1;1;2;2
