ANIO;NOMBREDD;NOMBREPP;NOMBREDI;PNP;MUNI;PJ;MPFN
2022;TUMBES;TUMBES;TUMBES;1;1;0;0
2022;TUMBES;TUMBES;TUMBES;;;;
2022;TUMBES;TUMBES;TUMBES;0;0;0;0
2022;TUMBES;TUMBES;TUMBES;2;2;2;2
2022;TUMBES;TUMBES;TUMBES;1;0;1;1
2022;TUMBES;TUMBES;TUMBES;;;;
2022;TUMBES;TUMBES;TUMBES;1;1;1;1
2022;TUMBES;TUMBES;TUMBES;;;;
2022;TUMBES;TUMBES;TUMBES;1;1;1;1
2022;TUMBES;TUMBES;TUMBES;0;0;0;0
2022;TUMBES;TUMBES;TUMBES;1;1;1;1
2022;TUMBES;TUMBES;TUMBES;0;0;0;0
2022;TUMBES;TUMBES;TUMBES;1;1;1;1
2022;TUMBES;TUMBES;TUMBES;1;1;1;1
2022;TUMBES;TUMBES;TUMBES;1;1;1;1
2022;TUMBES;TUMBES;TUMBES;1;1;1;1
2022;TUMBES;TUMBES;TUMBES;1;1;1;1
2022;TUMBES;TUMBES;TUMBES;1;1;1;1
2022;TUMBES;TUMBES;TUMBES;1;1;1;1
2022;TUMBES;TUMBES;TUMBES;1;1;1;2
2022;TUMBES;TUMBES;TUMBES;1;1;0;1
2022;TUMBES;TUMBES;TUMBES;1;1;1;1
2022;TUMBES;TUMBES;TUMBES;1;1;2;2
2022;TUMBES;TUMBES;TUMBES;1;1;0;0
2022;TUMBES;TUMBES;TUMBES;1;1;1;0
2022;TUMBES;TUMBES;TUMBES;0;0;0;2
2022;TUMBES;TUMBES;TUMBES;1;1;0;0
2022;TUMBES;TUMBES;TUMBES;1;1;0;1
2022;TUMBES;TUMBES;TUMBES;2;2;1;1
2022;TUMBES;TUMBES;TUMBES;2;0;0;0
2022;TUMBES;TUMBES;TUMBES;1;0;0;0
2022;TUMBES;TUMBES;TUMBES;1;0;0;0
2022;TUMBES;TUMBES;TUMBES;1;1;1;1
2022;TUMBES;TUMBES;TUMBES;;;;
2022;TUMBES;TUMBES;TUMBES;1;0;0;0
2022;TUMBES;TUMBES;TUMBES;1;2;1;1
2022;TUMBES;TUMBES;TUMBES;1;1;1;1
2022;TUMBES;TUMBES;TUMBES;0;0;0;0
2022;TUMBES;TUMBES;TUMBES;0;0;0;0
2022;TUMBES;TUMBES;TUMBES;1;1;1;1
2022;TUMBES;TUMBES;TUMBES;0;0;0;0
2022;TUMBES;TUMBES;TUMBES;1;1;0;0
2022;TUMBES;TUMBES;TUMBES;0;0;0;0
2022;TUMBES;TUMBES;TUMBES;0;0;0;0
2022;TUMBES;TUMBES;TUMBES;0;0;0;0
2022;TUMBES;TUMBES;TUMBES;1;0;0;0
2022;TUMBES;TUMBES;TUMBES;0;1;1;1
2022;TUMBES;TUMBES;TUMBES;1;1;0;0
2022;TUMBES;TUMBES;TUMBES;1;1;1;1
2022;TUMBES;TUMBES;TUMBES;0;0;0;0
2022;TUMBES;TUMBES;TUMBES;1;1;1;1
2022;TUMBES;TUMBES;TUMBES;0;0;0;0
2022;TUMBES;TUMBES;TUMBES;1;1;0;0
2022;TUMBES;TUMBES;TUMBES;1;0;0;0
2022;TUMBES;TUMBES;TUMBES;2;2;0;0
2022;TUMBES;TUMBES;TUMBES;3;2;0;0
2022;TUMBES;TUMBES;TUMBES;;;;
2022;TUMBES;TUMBES;TUMBES;;;;
2022;TUMBES;TUMBES;TUMBES;0;0;0;0
2022;TUMBES;TUMBES;TUMBES;1;1;1;1
2022;TUMBES;TUMBES;TUMBES;0;0;0;0
2022;TUMBES;TUMBES;TUMBES;0;0;0;0
2022;TUMBES;TUMBES;TUMBES;1;1;0;0
2022;TUMBES;TUMBES;TUMBES;0;0;0;0
2022;TUMBES;TUMBES;TUMBES;0;1;1;1
2022;TUMBES;TUMBES;TUMBES;0;0;0;0
2022;TUMBES;TUMBES;TUMBES;3;3;0;0
2022;TUMBES;TUMBES;TUMBES;2;0;0;0
2022;TUMBES;TUMBES;TUMBES;2;2;0;0
2022;TUMBES;TUMBES;TUMBES;;;;
2022;TUMBES;TUMBES;TUMBES;1;1;1;1
2022;TUMBES;TUMBES;TUMBES;2;0;0;0
2022;TUMBES;TUMBES;TUMBES;2;1;1;2
2022;TUMBES;TUMBES;TUMBES;0;0;2;0
2022;TUMBES;TUMBES;TUMBES;1;0;1;2
2022;TUMBES;TUMBES;TUMBES;2;0;0;0
2022;TUMBES;TUMBES;TUMBES;0;0;0;0
2022;TUMBES;TUMBES;TUMBES;1;0;1;1
2022;TUMBES;TUMBES;TUMBES;1;0;0;0
2022;TUMBES;TUMBES;TUMBES;0;0;0;0
2022;TUMBES;TUMBES;TUMBES;0;0;0;0
2022;TUMBES;TUMBES;TUMBES;2;2;2;2
2022;TUMBES;TUMBES;TUMBES;1;1;2;2
2022;TUMBES;TUMBES;TUMBES;1;1;3;3
2022;TUMBES;TUMBES;TUMBES;0;0;3;3
2022;TUMBES;TUMBES;TUMBES;0;0;0;0
2022;TUMBES;TUMBES;TUMBES;1;1;1;1
2022;TUMBES;TUMBES;TUMBES;1;0;0;0
2022;TUMBES;TUMBES;TUMBES;0;0;0;0
2022;TUMBES;TUMBES;TUMBES;0;1;1;1
2022;TUMBES;TUMBES;TUMBES;0;0;0;0
2022;TUMBES;TUMBES;TUMBES;1;2;2;2
2022;TUMBES;ZARUMILLA;ZARUMILLA;0;0;0;0
2022;TUMBES;ZARUMILLA;ZARUMILLA;1;1;1;1
2022;TUMBES;ZARUMILLA;ZARUMILLA;2;1;1;1
2022;TUMBES;ZARUMILLA;ZARUMILLA;0;0;0;0
2022;TUMBES;ZARUMILLA;ZARUMILLA;0;0;0;0
2022;TUMBES;ZARUMILLA;ZARUMILLA;0;0;0;0
2022;TUMBES;ZARUMILLA;ZARUMILLA;1;1;1;1
2022;TUMBES;ZARUMILLA;ZARUMILLA;2;2;2;2
2022;TUMBES;ZARUMILLA;ZARUMILLA;1;1;1;1
2022;TUMBES;ZARUMILLA;ZARUMILLA;1;1;1;1
2022;TUMBES;ZARUMILLA;ZARUMILLA;0;0;0;0
2022;TUMBES;ZARUMILLA;ZARUMILLA;2;2;0;0
2022;TUMBES;ZARUMILLA;ZARUMILLA;1;0;0;0
2022;TUMBES;ZARUMILLA;ZARUMILLA;;;;
2022;TUMBES;ZARUMILLA;ZARUMILLA;;;;
2022;TUMBES;ZARUMILLA;ZARUMILLA;1;0;0;0
2022;TUMBES;ZARUMILLA;ZARUMILLA;2;2;0;0
2022;TUMBES;ZARUMILLA;ZARUMILLA;1;1;1;1
2022;TUMBES;ZARUMILLA;ZARUMILLA;2;1;2;2
2022;TUMBES;ZARUMILLA;ZARUMILLA;2;2;2;2
2022;TUMBES;ZARUMILLA;ZARUMILLA;1;1;1;1
2022;TUMBES;ZARUMILLA;ZARUMILLA;;;;
2022;TUMBES;ZARUMILLA;ZARUMILLA;;;;
2022;TUMBES;ZARUMILLA;AGUAS VERDES;1;1;1;1
2022;TUMBES;ZARUMILLA;AGUAS VERDES;1;1;0;0
2022;TUMBES;ZARUMILLA;AGUAS VERDES;1;1;1;1
2022;TUMBES;ZARUMILLA;AGUAS VERDES;1;1;1;1
2022;TUMBES;ZARUMILLA;AGUAS VERDES;2;1;1;2
2022;TUMBES;ZARUMILLA;AGUAS VERDES;2;2;1;1
2022;TUMBES;ZARUMILLA;AGUAS VERDES;3;0;2;2
2022;TUMBES;ZARUMILLA;AGUAS VERDES;2;2;2;2
2022;TUMBES;ZARUMILLA;AGUAS VERDES;1;0;0;0
2022;TUMBES;ZARUMILLA;AGUAS VERDES;1;0;0;0
2022;TUMBES;ZARUMILLA;AGUAS VERDES;0;1;0;0
2022;TUMBES;ZARUMILLA;AGUAS VERDES;1;1;0;1
2022;TUMBES;ZARUMILLA;AGUAS VERDES;1;1;1;1
2022;TUMBES;ZARUMILLA;AGUAS VERDES;1;1;1;1
2022;TUMBES;ZARUMILLA;AGUAS VERDES;1;1;1;1
2022;TUMBES;ZARUMILLA;AGUAS VERDES;1;1;1;1
2022;TUMBES;ZARUMILLA;AGUAS VERDES;3;3;3;3
2022;TUMBES;ZARUMILLA;AGUAS VERDES;2;0;1;2
2022;TUMBES;ZARUMILLA;AGUAS VERDES;1;0;0;0
2022;TUMBES;ZARUMILLA;AGUAS VERDES;1;0;0;0
2022;TUMBES;ZARUMILLA;AGUAS VERDES;2;2;3;3
