anio,mes,fecha_descarga,distrito_fiscal,ubicacion_especialidad,cargo,condicion,sexo,total,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte
2019,12,02/01/2020,AMAZONAS,CIVIL Y FAMILIA,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,FEMENINO,2,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
2019,12,02/01/2020,AMAZONAS,CIVIL Y FAMILIA,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,MASCULINO,3,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
2019,12,02/01/2020,AMAZONAS,CIVIL Y FAMILIA,FISCAL ADJUNTO PROVINCIAL,TITULAR,FEMENINO,4,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
2019,12,02/01/2020,AMAZONAS,CIVIL Y FAMILIA,FISCAL ADJUNTO PROVINCIAL,TITULAR,MASCULINO,2,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
2019,12,02/01/2020,AMAZONAS,CIVIL Y FAMILIA,FISCAL PROVINCIAL,PROVISIONAL,MASCULINO,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
2019,12,02/01/2020,AMAZONAS,CIVIL Y FAMILIA,FISCAL PROVINCIAL,TITULAR,FEMENINO,2,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
2019,12,02/01/2020,AMAZONAS,CIVIL Y FAMILIA,FISCAL PROVINCIAL,TITULAR,MASCULINO,4,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
2019,12,02/01/2020,AMAZONAS,CONTROL INTERNO,FISCAL ADJUNTO SUPERIOR,PROVISIONAL,FEMENINO,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
2019,12,02/01/2020,AMAZONAS,CONTROL INTERNO,FISCAL ADJUNTO SUPERIOR,PROVISIONAL,MASCULINO,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
2019,12,02/01/2020,AMAZONAS,CONTROL INTERNO,FISCAL SUPERIOR,PROVISIONAL (Titular Promovido),MASCULINO,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
2019,12,02/01/2020,AMAZONAS,CORRUPCION DE FUNCIONARIOS,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,FEMENINO,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
