ANIO,DPTO_HECHO_NEW,PROV_HECHO,DIST_HECHO,CANTIDAD
2018,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,1
2018,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,1
2018,ANCASH,CASMA,CASMA,2
2018,ANCASH,HUARAZ,HUARAZ,1
2018,ANCASH,HUARMEY,HUARMEY,1
2018,ANCASH,SANTA,CHIMBOTE,1
2018,ANCASH,SANTA,CHIMBOTE,4
2018,ANCASH,SANTA,NUEVO CHIMBOTE,1
2018,ANCASH,SANTA,SANTA,1
2018,AREQUIPA,AREQUIPA,AREQUIPA,4
2018,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,1
2018,AREQUIPA,CARAVELI,CHALA,1
2018,CAJAMARCA,CAJAMARCA,CAJAMARCA,1
2018,CAJAMARCA,CELENDIN,CELENDIN,1
2018,CAJAMARCA,JAEN,JAEN,1
2018,CUSCO,CUSCO,SAN SEBASTIAN,1
2018,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,3
2018,ICA,CHINCHA,CHINCHA ALTA,1
2018,ICA,CHINCHA,PUEBLO NUEVO,1
2018,ICA,ICA,PARCONA,1
2018,JUNIN,HUANCAYO,EL TAMBO,1
2018,JUNIN,HUANCAYO,SAPALLANGA,1
2018,JUNIN,SATIPO,PANGOA,1
2018,LA LIBERTAD,ASCOPE,CASA GRANDE,2
2018,LA LIBERTAD,ASCOPE,PAIJAN,2
2018,LA LIBERTAD,ASCOPE,RAZURI,1
2018,LA LIBERTAD,CHEPEN,CHEPEN,1
2018,LA LIBERTAD,CHEPEN,CHEPEN,3
2018,LA LIBERTAD,PACASMAYO,GUADALUPE,2
2018,LA LIBERTAD,PACASMAYO,PACASMAYO,1
2018,LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,2
2018,LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,1
2018,LA LIBERTAD,TRUJILLO,EL PORVENIR,6
2018,LA LIBERTAD,TRUJILLO,EL PORVENIR,2
2018,LA LIBERTAD,TRUJILLO,FLORENCIA DE MORA,3
2018,LA LIBERTAD,TRUJILLO,HUANCHACO,2
2018,LA LIBERTAD,TRUJILLO,LA ESPERANZA,9
2018,LA LIBERTAD,TRUJILLO,LA ESPERANZA,2
2018,LA LIBERTAD,TRUJILLO,LAREDO,1
2018,LA LIBERTAD,TRUJILLO,TRUJILLO,1
2018,LA LIBERTAD,VIRU,CHAO,1
2018,LA LIBERTAD,VIRU,CHAO,1
2018,LA LIBERTAD,VIRU,VIRU,6
2018,LAMBAYEQUE,CHICLAYO,CAYALTI,1
2018,LAMBAYEQUE,CHICLAYO,CHICLAYO,1
2018,LAMBAYEQUE,CHICLAYO,CHICLAYO,8
2018,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,1
2018,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,1
2018,LAMBAYEQUE,CHICLAYO,LA VICTORIA,2
2018,LAMBAYEQUE,CHICLAYO,PIMENTEL,1
2018,LIMA METROPOLITANA,LIMA,ATE,2
2018,LIMA METROPOLITANA,LIMA,CARABAYLLO,1
2018,LIMA METROPOLITANA,LIMA,CHORRILLOS,1
2018,LIMA METROPOLITANA,LIMA,CIENEGUILLA,3
2018,LIMA METROPOLITANA,LIMA,COMAS,5
2018,LIMA METROPOLITANA,LIMA,COMAS,1
2018,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,1
2018,LIMA METROPOLITANA,LIMA,JESUS MARIA,1
2018,LIMA METROPOLITANA,LIMA,LA MOLINA,1
2018,LIMA METROPOLITANA,LIMA,LA VICTORIA,1
2018,LIMA METROPOLITANA,LIMA,LIMA,2
2018,LIMA METROPOLITANA,LIMA,LOS OLIVOS,1
2018,LIMA METROPOLITANA,LIMA,LURIGANCHO - CHOSICA,1
2018,LIMA METROPOLITANA,LIMA,MIRAFLORES,1
2018,LIMA METROPOLITANA,LIMA,PACHACAMAC,2
2018,LIMA METROPOLITANA,LIMA,PUCUSANA,1
2018,LIMA METROPOLITANA,LIMA,SAN BORJA,1
2018,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,3
2018,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,1
2018,LIMA METROPOLITANA,LIMA,SAN LUIS,1
2018,LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,1
2018,LIMA METROPOLITANA,LIMA,SANTA ANITA,1
2018,LIMA METROPOLITANA,LIMA,SANTIAGO DE SURCO,3
2018,LIMA METROPOLITANA,LIMA,SANTIAGO DE SURCO,1
2018,LIMA METROPOLITANA,LIMA,VILLA EL SALVADOR,3
2018,LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,3
2018,MADRE DE DIOS,TAMBOPATA,INAMBARI,1
2018,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,1
