UBICACION,num_comisarias,personal,area_com,old_com,com_internet,nreu_codisec,juntas,per_juntas,redes,per_redes,n_patru,n_pat_int,serenazgos,n_vehi,conf_pnp,conf_muni,conf_pj,conf_mpfn,Poblacion,ANIO,denuncias
AMAZONAS+BAGUA+ARAMANGO,2,16,246,41,2,10,12,64,1,10,205,0,9,0,2.39,1.92,1.64,1.57,10300,2019,
AMAZONAS+BAGUA+BAGUA,1,63,520,55,1,11,6,92,2,25,270,39,16,7,2.06,1.83,1.77,1.74,29540,2019,1
AMAZONAS+BAGUA+COPALLIN,1,9,132,50,1,10,0,0,0,0,60,0,12,0,2.13,1.86,1.76,1.83,4787,2019,
AMAZONAS+BAGUA+IMAZA,2,12,210,69,2,8,0,0,3,30,9,0,5,0,2.12,2,0.94,0.94,31300,2019,
AMAZONAS+BAGUA+LA PECA,1,7,180,72,1,6,5,100,0,0,165,0,8,0,1.93,1.76,1.74,1.76,6631,2019,5
AMAZONAS+BONGARA+CHURUJA,1,8,400,1,1,5,0,0,0,0,30,0,1,0,1.94,1.95,1.61,1.67,301,2019,
AMAZONAS+BONGARA+FLORIDA,1,11,246,22,1,4,0,0,0,0,60,0,4,0,2.27,1.95,1.85,1.8,6409,2019,
AMAZONAS+BONGARA+JAZAN,1,40,343,22,1,11,16,200,2,20,230,0,6,0,2.27,1.75,1.36,1.42,7994,2019,1
AMAZONAS+BONGARA+JUMBILLA,1,9,269,51,1,3,7,92,0,0,90,0,6,0,1.78,1.67,1.3,1.29,1354,2019,
AMAZONAS+BONGARA+VALERA,1,9,114,54,1,5,0,0,0,0,90,0,7,0,1.85,1.86,1.47,1.47,868,2019,
AMAZONAS+BONGARA+YAMBRASBAMBA,1,8,66,12,1,2,2,20,0,0,177,0,16,0,2.65,2.09,1.65,1.65,5802,2019,
AMAZONAS+CHACHAPOYAS+BALSAS,1,8,112,69,0,1,0,0,0,0,2,0,9,0,1.94,1.91,1.41,1.4,1202,2019,
AMAZONAS+CHACHAPOYAS+CHACHAPOYAS,1,62,647,25,1,10,15,277,33,33,180,30,16,8,2.11,1.88,1.73,1.73,37870,2019,1
AMAZONAS+CHACHAPOYAS+CHUQUIBAMBA,1,5,325,80,0,3,0,0,0,0,0,0,12,0,2.36,2.58,2.21,2.07,1955,2019,
AMAZONAS+CHACHAPOYAS+GRANADA,1,5,200,30,1,3,7,79,0,0,29,0,1,0,2.05,2.06,1.76,1.57,532,2019,
AMAZONAS+CHACHAPOYAS+LA JALCA,1,6,176,7,1,11,0,0,0,0,6,0,6,0,1.95,2.21,1.95,1.93,4080,2019,1
